frame,method,dx,dy,rotation,scale,ecc_score
0,mask,0.0,0.0,0.0,1.0,1.0
1,euclidean,-0.35649893,0.037978202,-0.017805371,1.0,0.9996568242647609
2,euclidean,-0.5595458,0.024376307,-0.025709892,0.99999994,0.9994411907339952
3,euclidean,-0.7301765,0.017570425,-0.03272042,0.99999994,0.9994611891802055
4,euclidean,-0.61978817,-0.07460153,-0.029881408,1.0,0.9992796825312092
5,euclidean,-0.19858804,-0.18813948,-0.014724636,0.99999994,0.9990342653968766
6,euclidean,-0.076155275,-0.4903414,-0.021501387,1.0,0.9993578078936082
7,euclidean,-0.37024072,-0.46586314,-0.0544659,0.99999994,0.9979502557895983
8,euclidean,-0.84809846,-0.2830153,-0.10467153,1.0,0.9954345695580714
9,euclidean,-0.63823104,-0.4404539,-0.083293974,0.99999994,0.9960604949459592
10,euclidean,-0.42804724,-0.51985115,-0.060878474,1.0,0.9968473047076511
11,euclidean,-0.49823824,-0.49036127,-0.05757198,1.0,0.9974826174937456
12,euclidean,-0.5572205,-0.4573663,-0.057999376,0.99999994,0.9980464915886174
13,euclidean,-0.3695598,-0.37814203,-0.052856028,1.0,0.9982973391547353
14,euclidean,-0.10430987,-0.4806397,-0.04479241,1.0,0.9987275795603289
15,euclidean,0.03132504,-0.56966376,-0.043880474,1.0,0.9990308516557321
