frame,method,dx,dy,rotation,scale,ecc_score
0,mask,0.0,0.0,0.0,1.0,1.0
1,euclidean,-0.35381615,0.036093086,-0.01761049,1.0,0.9996724471089989
2,euclidean,-0.5519105,0.020275516,-0.025169041,0.99999994,0.9994459270278018
3,euclidean,-0.70763314,0.006962249,-0.031008527,1.0,0.9994562075272447
4,euclidean,-0.594018,-0.08619165,-0.027933959,1.0,0.9992528810064945
5,euclidean,-0.17295367,-0.19917463,-0.012874442,1.0,0.9990089086645373
6,euclidean,-0.06042956,-0.50260794,-0.020312503,1.0,0.9993514389067847
7,euclidean,-0.3826364,-0.48355252,-0.05526155,1.0,0.9978251137908531
8,euclidean,-0.8924031,-0.31294364,-0.10730328,1.0,0.9950700407421429
9,euclidean,-0.664392,-0.4750601,-0.08457384,1.0,0.995777788019733
10,euclidean,-0.4271556,-0.5549541,-0.05999267,1.0,0.9966452667681879
11,euclidean,-0.481539,-0.52570426,-0.05511228,1.0,0.9973458409512967
12,euclidean,-0.52489483,-0.48431805,-0.05465149,0.99999994,0.9979724799114608
13,euclidean,-0.32679668,-0.40063465,-0.04902962,1.0,0.9982686090442714
14,euclidean,-0.07029241,-0.49650595,-0.041727766,1.0,0.9987179210868173
15,euclidean,0.05197276,-0.57974476,-0.04181262,1.0,0.9990089755111393
