frame,method,dx,dy,rotation,scale,ecc_score
0,mask,0.0,0.0,0.0,1.0,1.0
1,method8_multiscale_selective,-0.19997091591358185,0.10978669673204422,-0.005929344799369574,1.0,0.9997042225370523
2,method8_multiscale_selective,-0.4967178702354431,0.2650725543498993,-0.019804639741778374,1.0,0.9991494666029158
3,method8_multiscale_selective,-0.5199723839759827,0.30728188157081604,-0.022927328944206238,1.0,0.9991113803474637
4,method8_multiscale_selective,-0.09698714315891266,0.15826000273227692,-0.01893014833331108,1.0,0.9993296458498352
5,method8_multiscale_selective,0.7692667841911316,-0.2504156529903412,0.009989285841584206,1.0,0.9995162326796956
6,method8_multiscale_selective,1.3335025310516357,-0.5531836748123169,0.02486932836472988,0.9999999403953552,0.9991100486297422
7,method8_multiscale_selective,1.3459808826446533,-0.4765881896018982,0.02883201465010643,1.0,0.9991418290158439
8,method8_multiscale_selective,0.8760280013084412,-0.32372620701789856,0.012994898483157158,1.0,0.998890705854227
9,method8_multiscale_selective,0.25366082787513733,-0.023552028462290764,-0.005943024065345526,1.0,0.9986796756358419
10,method8_multiscale_selective,-0.3545885980129242,0.16963869333267212,-0.02724464423954487,1.0,0.9986571322474371
11,method8_multiscale_selective,-0.6136236786842346,0.24941617250442505,-0.029812317341566086,1.0,0.998467481742202
12,method8_multiscale_selective,-0.6843228340148926,0.20920392870903015,-0.035668931901454926,1.0,0.9985070755664336
13,method8_multiscale_selective,-0.7752330899238586,0.2968025803565979,-0.03678850457072258,1.0,0.998647645480476
14,method8_multiscale_selective,-0.7486364841461182,0.2096947282552719,-0.041677460074424744,1.0,0.9985710537066318
15,method8_multiscale_selective,-0.5461317300796509,0.0874299556016922,-0.03216051310300827,0.9999999403953552,0.9985589546576515
16,method8_multiscale_selective,-0.10053615272045135,-0.27772852778434753,-0.01955871842801571,1.0,0.9986098061951103
17,method8_multiscale_selective,0.2198304831981659,-0.37219467759132385,-0.005976814776659012,1.0,0.998079230848504
18,method8_multiscale_selective,-0.0166286863386631,-0.31379979848861694,-0.015552308410406113,0.9999999403953552,0.9983276394912368
19,method8_multiscale_selective,-0.4547002613544464,-0.10124967247247696,-0.029270904138684273,1.0,0.9980922371676517
20,method8_multiscale_selective,-1.1323643922805786,-0.04672439396381378,-0.045266855508089066,1.0,0.9983773024285054
21,method8_multiscale_selective,-3.587735176086426,1.0568400621414185,-0.14241118729114532,1.0,0.9979029881693928
22,method8_multiscale_selective,-4.006356716156006,1.1493803262710571,-0.14668262004852295,1.0,0.9980761029207765
