frame,method,dx,dy,angle,ecc_score
0,mask,0.0,0.0,0.0,1.0
1,pcc,-0.0014278678145704133,-0.0009547116111902529,0.0,0.6442132329414484
2,pcc,-0.004635458171696933,-0.003311939505397273,0.0,0.3963604824289768
3,pcc,-0.010479970851851582,-0.003360326886649687,0.0,0.25302153084330703
4,pcc,-0.008979429267269448,-0.005193783786113844,0.0,0.1777523501187294
5,pcc,-0.00520127331706188,-0.0017151662592514664,0.0,0.13988005122498265
6,pcc,0.0030725891508857368,-0.01869559297704284,0.0,0.1199487354846619
7,pcc,0.005992135471573866,-0.01499524749506852,0.0,0.10960995560574106
8,pcc,0.013041144628271677,-0.008300028654366728,0.0,0.10393083860144939
9,pcc,-0.002573685917799805,-0.005459678269771405,0.0,0.09656840317436954
10,pcc,-0.009391737001767002,-0.02208119717818474,0.0,0.09571562624537457
11,pcc,-0.019150731715665836,-0.03273773005159986,0.0,0.0961638662563354
12,pcc,-0.011115440020994615,-0.0506721744368233,0.0,0.09599705549264788
13,pcc,-0.00041669035915868386,-0.03864204521192636,0.0,0.09976086580215646
14,pcc,0.004431529203364114,-0.03276241700401053,0.0,0.09827587992506337
15,pcc,0.006438517157782732,-0.036798456436862005,0.0,0.09772293518689394
