frame,method,dx,dy,angle,ecc_score
0,mask,0.0,0.0,0.0,1.0
1,pcc,-0.00121450860462649,-0.0009056676886284942,0.0,0.6431055059732558
2,pcc,-0.004388130346425482,-0.003405706267241232,0.0,0.3944424319881066
3,pcc,-0.010373431156629904,-0.0032644705092065573,0.0,0.25057920618345564
4,pcc,-0.008884778043640075,-0.00525865298185526,0.0,0.17509544778684635
5,pcc,-0.0054910708669295896,-0.0024844685778138147,0.0,0.13700892391369696
6,pcc,0.003469920620604452,-0.020496689684626434,0.0,0.1167341536052342
7,pcc,0.006714054471770831,-0.015666547483786437,0.0,0.10653889162066724
8,pcc,0.014633556157919989,-0.008955961833494763,0.0,0.10066539994059542
9,pcc,-0.0011322729720985606,-0.006547555148909194,0.0,0.093469221453089
10,pcc,-0.009394557897558579,-0.02613323308766219,0.0,0.09280735082267834
11,pcc,-0.021216276226766764,-0.037161298792262834,0.0,0.09323711157972006
12,pcc,-0.01157491594676458,-0.054384186425927086,0.0,0.09316522047357688
13,pcc,-0.00047688342283875803,-0.044055423422704826,0.0,0.09705171676726876
14,pcc,0.00529129610344994,-0.03798042473796456,0.0,0.09511586133241327
15,pcc,0.008316049094268354,-0.04025100084968258,0.0,0.09447843587314592
