frame,method,dx,dy,rotation,scale,ecc_score
0,mask,0.0,0.0,0.0,1.0,1.0
1,euclidean,0.1554714,-0.12622291,0.0024383313,1.0,0.9997916336694654
2,euclidean,0.1997265,-0.16268653,-0.0016534973,1.0,0.9994968918867227
3,euclidean,0.41702956,-0.12855776,-0.00058635656,1.0,0.9993655782730093
4,euclidean,0.26151094,0.022307519,-0.0051000617,1.0,0.9995101025220582
5,euclidean,-0.111228764,0.20361985,-0.01686235,0.99999994,0.9995264380025473
6,euclidean,-0.47227702,0.3606251,-0.029809128,1.0,0.9990753862149071
7,euclidean,-0.61033356,0.49007955,-0.035707053,1.0,0.9990292601638199
8,euclidean,-0.5771631,0.48073417,-0.033412293,1.0,0.9988546418586143
9,euclidean,-0.41499457,0.39425144,-0.037335634,0.99999994,0.997706096171617
10,euclidean,-0.066296086,0.21609175,-0.031710297,0.99999994,0.996912335592015
11,euclidean,-0.01162423,0.13013473,-0.035606377,1.0,0.9960313167569987
12,euclidean,0.030691832,0.15952979,-0.04302671,0.99999994,0.9959102682643395
13,euclidean,-0.36212942,0.44470567,-0.060913626,1.0,0.9964128652877214
14,euclidean,-0.9482021,0.741225,-0.083213665,0.99999994,0.9970475098158479
15,euclidean,-1.3028178,0.9087546,-0.10013726,0.99999994,0.9973968695930748
16,euclidean,-1.1334946,0.8861689,-0.09452511,1.0,0.9978073830151989
17,euclidean,-0.97670263,0.8218189,-0.086931184,1.0,0.9979425468939893
18,euclidean,-0.7902062,0.6212113,-0.08095428,0.99999994,0.9979717846194068
19,euclidean,-0.91960746,0.70024693,-0.091562465,1.0,0.9979207540755114
20,euclidean,-1.2866057,0.91479105,-0.10693523,1.0,0.9978099681997513
21,euclidean,-1.6458873,1.1289259,-0.11762471,1.0,0.9975803194311301
22,euclidean,-2.1823232,1.4040453,-0.13444006,1.0,0.9972797424890759
23,euclidean,-2.4550586,1.498926,-0.15071128,1.0,0.9970169247478224
24,euclidean,-2.4784353,1.5066066,-0.1657506,1.0,0.9969610402047182
