frame,method,dx,dy,angle,ecc_score
0,mask,0.0,0.0,0.0,1.0
1,pcc,-0.0012864528074458378,-0.0008249461627746405,0.0,0.6438958097948876
2,pcc,-0.0046056254830814,-0.003009392674015949,0.0,0.39552031365069723
3,pcc,-0.0103706029590764,-0.0034766788391519224,0.0,0.2518452168788692
4,pcc,-0.009221690072853912,-0.005586052050413444,0.0,0.17646463975056456
5,pcc,-0.005234282318671991,-0.0018201904540283195,0.0,0.13846518508681008
6,pcc,0.0034858051863101047,-0.018208421339001,0.0,0.11836230765085096
7,pcc,0.005659142062955423,-0.0152563095620381,0.0,0.10800684199135757
8,pcc,0.014222025389038703,-0.00835530099834972,0.0,0.1022596098654447
9,pcc,-0.0015114138392316055,-0.0069518099041397515,0.0,0.09491073492984414
10,pcc,-0.008962537029170162,-0.021907040685662984,0.0,0.09406709317850157
11,pcc,-0.020587033979200815,-0.03434317471231108,0.0,0.0945780033895222
12,pcc,-0.011023956025986832,-0.05108292749258988,0.0,0.09443670526008971
13,pcc,-0.0005232832068062424,-0.04013803028900026,0.0,0.0983410655288233
14,pcc,0.004078370763288288,-0.03490325197119549,0.0,0.096965179719211
15,pcc,0.00810689297718936,-0.03901590600677217,0.0,0.09615475258233576
