frame,method,dx,dy,rotation,scale,ecc_score
0,mask,0.0,0.0,0.0,1.0,1.0
1,euclidean,-0.40876576,0.03782973,-0.0214898,1.0,0.9996821827640059
2,euclidean,-0.634898,0.029414713,-0.0308998,1.0,0.9996716206850356
3,euclidean,-0.8337548,0.025013752,-0.04024259,1.0,0.9995816770522593
4,euclidean,-0.7294666,-0.057320047,-0.038347926,1.0,0.9994353143916471
5,euclidean,-0.2791999,-0.17316414,-0.021854034,1.0,0.9992785924275698
6,euclidean,-0.13889115,-0.4643842,-0.028939396,1.0,0.9993790753521795
7,euclidean,-0.42371374,-0.42160368,-0.063456,1.0,0.998110124395477
8,euclidean,-0.8907194,-0.2206962,-0.11651848,0.99999994,0.9956902728872332
9,euclidean,-0.68886447,-0.37790436,-0.095367745,1.0,0.9963132104243712
10,euclidean,-0.49204704,-0.48569182,-0.073286615,0.99999994,0.9969879635974798
11,euclidean,-0.58262193,-0.48841685,-0.071339734,1.0,0.997515985159931
12,euclidean,-0.67916036,-0.4688332,-0.07272367,0.99999994,0.9980592641062147
13,euclidean,-0.5048259,-0.38536027,-0.06777375,0.99999994,0.9982832773292832
14,euclidean,-0.20394324,-0.5009928,-0.05634417,1.0,0.9987891383500482
15,euclidean,-0.037490454,-0.588413,-0.05271082,1.0,0.9991887894482925
