frame,method,dx,dy,angle,ecc_score
0,mask,0.0,0.0,0.0,1.0
1,pcc,0.0010950373874214633,-0.0005994366642527713,0.0,0.6413308790665717
2,pcc,0.0037932408165267896,-0.005295565915315435,0.0,0.3931867735265213
3,pcc,0.013432537772704214,-0.007878066015436782,0.0,0.24714493391547926
4,pcc,0.019322388241145225,-0.010369676505453113,0.0,0.16494690181447866
5,pcc,0.0309752698218354,-0.018268641984579243,0.0,0.12028138486421043
6,pcc,0.04318411051096882,-0.02327545021348273,0.0,0.09548203941308653
7,pcc,0.04789177006580356,-0.033601236127550484,0.0,0.08123520353268693
8,pcc,0.050164840613399465,-0.01368004319253065,0.0,0.07679093329853426
9,pcc,0.06846457418574739,-0.01992028162796445,0.0,0.07757402965208882
10,pcc,0.06117111675094191,-0.04169457068981683,0.0,0.07496511459069492
11,pcc,0.06978172518824453,-0.04015083905618409,0.0,0.07507835586392217
12,pcc,0.06791595574174972,-0.026309854886071456,0.0,0.07524398136187899
13,pcc,0.05707371308173491,-0.022796872630596487,0.0,0.07538046352385766
