frame,method,dx,dy,angle,ecc_score
0,mask,0.0,0.0,0.0,1.0
1,euclidean,0.36253372,0.19574547,-0.008404075,0.9844673529909928
2,euclidean,0.34513438,0.34062952,0.0036799363,0.9846582005147809
3,euclidean,0.04821641,0.36967033,-0.012165613,0.9838332726502604
4,euclidean,0.46128267,0.09062252,-0.018448781,0.9785782738496521
5,euclidean,0.22285336,0.24303137,-0.025724761,0.9783166779410855
6,euclidean,0.15800056,0.382399,-0.027534321,0.9721851628657968
7,euclidean,0.0005248146,0.4613206,-0.029610567,0.9757967394469922
8,euclidean,-0.23773818,0.38045144,-0.047016013,0.9699336240955659
9,euclidean,0.26643473,0.31192222,-0.017434066,0.9682079689879513
10,euclidean,-0.760974,0.8200478,-0.055946708,0.9672013266253825
11,euclidean,-0.61777675,0.805622,-0.063814834,0.9579967668717888
12,euclidean,-0.59467137,0.86788297,-0.066098616,0.9487173539601531
13,euclidean,-0.8323832,0.9006936,-0.073315114,0.9457476133830917
14,euclidean,-0.74787986,0.9356657,-0.067635,0.9574421844125621
15,euclidean,-0.84942126,1.0297259,-0.07036392,0.9585801234486222
16,euclidean,-0.26255322,0.8533853,-0.063725054,0.9508889058783857
17,euclidean,-0.027050717,0.74705935,-0.057100944,0.9506450747857893
18,euclidean,0.40668356,0.657141,-0.019994691,0.9581756605964032
19,euclidean,1.367791,0.057225022,-0.0008840884,0.9619632304846005
20,euclidean,0.8459612,0.28548062,0.008091002,0.9594281749606078
21,euclidean,1.0752192,-0.09992384,0.0014312259,0.9652587467048817
22,euclidean,0.30769888,0.12233381,-0.018179035,0.9629862739984333
23,euclidean,0.4670198,-0.032115445,0.011807057,0.9655119610517807
24,euclidean,1.076411,-0.33613575,0.021811321,0.9654629176151248
25,euclidean,0.64217746,-0.5024251,0.016015323,0.9651678814564342
