frame,method,dx,dy,angle,ecc_score
0,mask,0.0,0.0,0.0,1.0
1,pcc,0.0009973734920869428,-0.0012443945207935023,0.0,0.6334707031581709
2,pcc,0.0009205174874615289,-0.002659415115936266,0.0,0.3805507028765146
3,pcc,0.006482837720810494,-0.0060853975754678385,0.0,0.23289984353110044
4,pcc,0.009393984557700071,-0.016070747805386323,0.0,0.15705051465846379
5,pcc,0.002749543165513182,-0.01282271979655497,0.0,0.11672346737107656
6,pcc,-0.01019801631978316,-0.00784511807476249,0.0,0.09810328717450989
7,pcc,-0.01662955925695599,-0.004184784241342147,0.0,0.0890471402348275
8,pcc,-0.01668908719282141,0.010454629072250695,0.0,0.08534025472944275
9,pcc,-0.0011330542477224364,0.014868449137811034,0.0,0.07902068994187393
10,pcc,0.010691375858827692,-0.007860648757389087,0.0,0.07268194272135964
11,pcc,0.011670258112796898,-0.032689968926942876,0.0,0.07249726711947443
12,pcc,0.021072364061990104,-0.0211214497492348,0.0,0.06717966949547088
13,pcc,0.015930903820779607,-0.01052443783753937,0.0,0.06623596950100183
14,pcc,0.009475475578205106,0.008477790606780776,0.0,0.06848829183756618
15,pcc,-0.01072685329221584,0.013031557282708335,0.0,0.06737707240243185
16,pcc,-0.005161390639920641,0.016664477952730718,0.0,0.06922633238316964
17,pcc,-0.010848731995393948,0.03891339217218736,0.0,0.0691172314358767
18,pcc,-0.007586776354748466,0.010079712853447735,0.0,0.07097452253856094
19,pcc,-0.0012986779327195676,0.007598964215575364,0.0,0.06985108127415669
20,pcc,-0.029271253281052723,0.02108718329403498,0.0,0.06867333185219562
21,pcc,-0.028682523086147684,0.035447929233758294,0.0,0.06529991058715662
22,pcc,-0.026490324015007213,0.034084205499982465,0.0,0.061655620211495926
23,pcc,-0.03526067701355549,0.046462221135033656,0.0,0.05945827367965478
24,pcc,-0.03104411561457875,0.04618680236504717,0.0,0.06020947547469834
