frame,method,dx,dy,angle,ecc_score
0,mask,0.0,0.0,0.0,1.0
1,pcc,0.0009168202718740256,-0.0006494888486122067,0.0,0.6396445573346166
2,pcc,0.004015083137688648,-0.005228482371128194,0.0,0.39035633913669904
3,pcc,0.014123535027258004,-0.00861700220449282,0.0,0.24355613778700763
4,pcc,0.021150749237254227,-0.010906324625190022,0.0,0.1606291176190414
5,pcc,0.03332846015681516,-0.020394166207984867,0.0,0.11543815729419922
6,pcc,0.04905132279521317,-0.025961641176772063,0.0,0.09040060863215617
7,pcc,0.056144915365697864,-0.039447072365290166,0.0,0.07610500995647171
8,pcc,0.05439701061839734,-0.018673385287052393,0.0,0.07165142220973567
9,pcc,0.07656188194578308,-0.02918453436210709,0.0,0.07148344664478766
10,pcc,0.07315591954399943,-0.050116115274907995,0.0,0.06889213248351725
11,pcc,0.08311969113925187,-0.049995751600517106,0.0,0.06872630335288912
12,pcc,0.08154959789572828,-0.03214133652513166,0.0,0.06910673312310973
13,pcc,0.0670879109672163,-0.02720156940430713,0.0,0.06949246344078286
