frame,method,dx,dy,rotation,scale,ecc_score
0,mask,0.0,0.0,0.0,1.0,1.0
1,euclidean,-0.37116632,0.03143647,-0.018698312,1.0,0.9996801251044624
2,euclidean,-0.55900705,0.0064133075,-0.025384353,0.99999994,0.9995121641769396
3,euclidean,-0.6978896,-0.009915259,-0.030298084,1.0,0.999512505317853
4,euclidean,-0.56023115,-0.10644461,-0.026182298,1.0,0.9992893294715304
5,euclidean,-0.12342015,-0.22278903,-0.011117255,1.0,0.9991414564466693
6,euclidean,-0.047453012,-0.5300033,-0.021748843,1.0,0.9993733981150548
7,euclidean,-0.49311048,-0.5140918,-0.06667081,1.0,0.9975097718061307
8,euclidean,-1.1589557,-0.34971288,-0.13030997,1.0,0.9940650439618887
9,euclidean,-0.8088283,-0.55094266,-0.09929445,1.0,0.9951248627920893
10,euclidean,-0.46539745,-0.65136355,-0.06624326,1.0,0.996202659526263
11,euclidean,-0.48184776,-0.61993057,-0.05729686,1.0,0.9970659340300512
12,euclidean,-0.48944485,-0.5579255,-0.054557547,0.99999994,0.9978581234020218
13,euclidean,-0.2673085,-0.46066865,-0.047833778,1.0,0.9982556109843936
14,euclidean,-0.007857977,-0.5379567,-0.040857583,1.0,0.99863218703047
15,euclidean,0.088413484,-0.604857,-0.041882437,1.0,0.9990179013212579
