frame,method,dx,dy,rotation,scale,ecc_score
0,mask,0.0,0.0,0.0,1.0,1.0
1,euclidean,-0.3220697,0.027085548,-0.016007502,0.99999994,0.999576856843248
2,euclidean,-0.46586275,-0.010252073,-0.02024397,1.0,0.9990944428098059
3,euclidean,-0.5769551,-0.02293981,-0.02208539,1.0,0.9991010928485392
4,euclidean,-0.41895938,-0.1183417,-0.016689945,0.99999994,0.9989185000151024
5,euclidean,-0.025323601,-0.26131284,-0.0044069597,1.0,0.999121375433119
6,euclidean,0.080411196,-0.57389677,-0.008157784,1.0,0.9994785340982202
7,euclidean,-0.12282807,-0.6224401,-0.025439866,0.99999994,0.9983082105958668
8,euclidean,-0.63651276,-0.52146685,-0.06280076,1.0,0.9944401323490379
9,euclidean,-0.33417258,-0.82423186,-0.041613445,1.0,0.9947091388462619
10,euclidean,-0.09294479,-0.89659655,-0.024136951,1.0,0.9956596485162037
11,euclidean,-0.17432249,-0.80309874,-0.025153296,0.99999994,0.9966858179766804
12,euclidean,-0.21777952,-0.665485,-0.028757159,1.0,0.997617590899519
13,euclidean,-0.006595653,-0.54319096,-0.024808014,0.99999994,0.9980747315818066
14,euclidean,0.2941484,-0.599456,-0.017878097,1.0,0.9980727068379868
15,euclidean,0.31930798,-0.62070674,-0.022900866,1.0,0.9985005990773552
