frame,method,dx,dy,angle,ecc_score
0,mask,0.0,0.0,0.0,1.0
1,euclidean,0.27122542,-0.24233793,0.014461256,0.9997908834349385
2,euclidean,0.60098726,-0.60987395,0.03111306,0.9994347437092586
3,euclidean,1.4271556,-1.0607417,0.06526117,0.9994190739017612
4,euclidean,1.8824248,-1.5259222,0.07522886,0.9989569699159084
5,euclidean,1.753379,-1.7600846,0.051465735,0.9983261073044333
6,euclidean,1.4985183,-1.791938,0.006654351,0.9967096063281867
7,euclidean,2.0862532,-1.9640353,0.034521535,0.9972691675124284
8,euclidean,2.225366,-1.9426636,0.053127307,0.997941476239687
9,euclidean,2.4609158,-2.0639296,0.07785841,0.9985663970879748
10,euclidean,2.1670375,-2.104596,0.072992966,0.9990353728366267
11,euclidean,1.8450615,-2.0982528,0.06339742,0.9990876384961711
12,euclidean,1.5634369,-2.0157957,0.051279355,0.9989920616089292
13,euclidean,1.1892712,-2.0103498,0.03209554,0.9989891880091752
