frame,method,dx,dy,rotation,scale,ecc_score
0,mask,0.0,0.0,0.0,1.0,1.0
1,euclidean,-0.37895697,0.04210849,-0.019450914,1.0,0.9997017032735696
2,euclidean,-0.5910761,0.025993664,-0.027721377,1.0,0.9996069474597187
3,euclidean,-0.7881895,0.029064931,-0.036998842,1.0,0.99956679200858
4,euclidean,-0.69087654,-0.049307827,-0.03515799,1.0,0.9994357527941948
5,euclidean,-0.25980055,-0.16655183,-0.019089585,1.0,0.9992517907726245
6,euclidean,-0.10125449,-0.458708,-0.023885861,1.0,0.9994111151200651
7,euclidean,-0.30510587,-0.42393616,-0.049480524,1.0,0.9983690200645706
8,euclidean,-0.6958655,-0.23075551,-0.09230731,1.0,0.9964208046915957
9,euclidean,-0.5745445,-0.37126374,-0.07706911,1.0,0.996928119464206
10,euclidean,-0.4529863,-0.45369014,-0.061608758,0.99999994,0.9974630407772439
11,euclidean,-0.5731443,-0.4446469,-0.06259538,1.0,0.9979029561796662
12,euclidean,-0.67980176,-0.43126774,-0.066253774,1.0,0.9983435003676642
13,euclidean,-0.5063381,-0.35775676,-0.06182678,1.0,0.9984894458176399
14,euclidean,-0.20645216,-0.48333484,-0.05069788,0.99999994,0.9989361778350935
15,euclidean,-0.03681951,-0.5794779,-0.047378678,0.99999994,0.9992222429512848
