frame,method,dx,dy,angle,ecc_score
0,mask,0.0,0.0,0.0,1.0
1,pcc,-0.001255376927987458,-0.0008494051596726707,0.0,0.6430596789419172
2,pcc,-0.004440716503446771,-0.0033890034252284157,0.0,0.3945332894544374
3,pcc,-0.010602573493691642,-0.003227581230647941,0.0,0.2507210144771387
4,pcc,-0.00896830478343488,-0.00558404483910703,0.0,0.1750797681717509
5,pcc,-0.005435853968317011,-0.0028779710936713354,0.0,0.13697336739453575
6,pcc,0.0030465423853951617,-0.02101519122718016,0.0,0.11671703615242786
7,pcc,0.006488641490263346,-0.015414444026150173,0.0,0.10658176968462485
8,pcc,0.014830997188373963,-0.00961967608027325,0.0,0.10067834346771215
9,pcc,-0.0008267704807602936,-0.0071803241473279815,0.0,0.09347202076470187
10,pcc,-0.009139482209737685,-0.02594742996282562,0.0,0.09297629040864243
11,pcc,-0.020890719140564635,-0.03770656338372264,0.0,0.0933164597707073
12,pcc,-0.011990831041005328,-0.054378364524876904,0.0,0.09303845357436696
13,pcc,-0.0010392871430156758,-0.04459442174319538,0.0,0.09692307727476415
14,pcc,0.005401577143157435,-0.03869798810035888,0.0,0.0950288846716973
15,pcc,0.0083408077282804,-0.04123056044246925,0.0,0.09436603902284334
