frame,method,dx,dy,rotation,scale,ecc_score
0,mask,0.0,0.0,0.0,1.0,1.0
1,euclidean,-0.41575176,0.042202756,-0.022311492,1.0,0.9996880244470793
2,euclidean,-0.6484074,0.042809725,-0.032536257,0.99999994,0.999708370432419
3,euclidean,-0.85839427,0.043307118,-0.04322926,1.0,0.9996193605150054
4,euclidean,-0.7605778,-0.027462777,-0.042112187,0.99999994,0.9994969819967247
5,euclidean,-0.30802587,-0.13777427,-0.025179181,0.99999994,0.9993549639000155
6,euclidean,-0.14579995,-0.41348478,-0.031450488,0.99999994,0.9994207165520759
7,euclidean,-0.3732748,-0.34713435,-0.062484033,1.0,0.9983993420243591
8,euclidean,-0.76490027,-0.111422084,-0.11220858,1.0,0.9964418418752254
9,euclidean,-0.63095015,-0.25208092,-0.09575526,1.0,0.9969685746950815
10,euclidean,-0.49436313,-0.37035653,-0.07877215,1.0,0.997480987695056
11,euclidean,-0.61685795,-0.38963982,-0.08012411,1.0,0.9978656126089879
12,euclidean,-0.741335,-0.40535343,-0.08212011,1.0,0.9983005899946799
13,euclidean,-0.5746704,-0.33330485,-0.07677297,1.0,0.9984893969692403
14,euclidean,-0.25889894,-0.47251937,-0.06273204,1.0,0.9989258964258368
15,euclidean,-0.069155395,-0.57255936,-0.056697723,1.0,0.9992929250304353
