frame,method,dx,dy,rotation,scale,ecc_score
0,mask,0.0,0.0,0.0,1.0,1.0
1,euclidean,-0.4150369,0.035533223,-0.025054494,0.99999994,0.9997129667833923
2,euclidean,-0.64814526,0.038779635,-0.03736078,0.99999994,0.9997651786043842
3,euclidean,-0.8794016,0.07881916,-0.054497708,0.99999994,0.999679382354174
4,euclidean,-0.79331106,0.036065876,-0.057347104,1.0,0.9995704558689229
5,euclidean,-0.32877678,-0.059936564,-0.03814842,0.99999994,0.9994767064177043
6,euclidean,-0.1344305,-0.22429837,-0.051041372,0.99999994,0.9994031177726863
7,euclidean,-0.2515462,-0.03851875,-0.08212346,1.0,0.9987859666419826
8,euclidean,-0.41956943,0.35949776,-0.12797113,1.0,0.9978132383469631
9,euclidean,-0.48793966,0.28261667,-0.124900445,1.0,0.9980982406406556
10,euclidean,-0.5324463,0.18287586,-0.12649271,1.0,0.9983025631854024
11,euclidean,-0.730513,0.12531042,-0.14007773,1.0,0.9983949871379876
12,euclidean,-0.8921912,-0.11839943,-0.12927099,0.99999994,0.9986466188051591
13,euclidean,-0.7126258,-0.19292192,-0.1123015,1.0,0.9987565830698795
14,euclidean,-0.35083652,-0.49148226,-0.08431471,1.0,0.9991103575815611
15,euclidean,-0.10152196,-0.62788147,-0.07191467,1.0,0.9994616379380595
