frame,method,dx,dy,rotation,scale,ecc_score
0,mask,0.0,0.0,0.0,1.0,1.0
1,euclidean,-0.40245816,0.033765092,-0.020341441,1.0,0.9996650505438823
2,euclidean,-0.6151865,0.016509993,-0.028383227,1.0,0.9996160674179918
3,euclidean,-0.7990193,0.011109773,-0.0362306,1.0,0.9995519376187371
4,euclidean,-0.6860768,-0.0778229,-0.033595704,1.0,0.9993872448305416
5,euclidean,-0.23730029,-0.20222016,-0.01730261,1.0,0.9991948268065679
6,euclidean,-0.12213772,-0.5026364,-0.025584228,0.99999994,0.9993836674687774
7,euclidean,-0.4632441,-0.4699488,-0.06335923,1.0,0.9979187769183074
8,euclidean,-1.0037036,-0.2807253,-0.119369075,1.0,0.9952407706243285
9,euclidean,-0.7413957,-0.4522512,-0.09455135,1.0,0.9959143581940227
10,euclidean,-0.49254373,-0.5482166,-0.06872838,1.0,0.9966909103101016
11,euclidean,-0.55006695,-0.53400826,-0.063797124,1.0,0.9973409038029143
12,euclidean,-0.61372674,-0.49674127,-0.06381379,1.0,0.9979781474048258
13,euclidean,-0.426153,-0.40947708,-0.058736596,1.0,0.998250319104523
14,euclidean,-0.14142686,-0.5143111,-0.0494708,1.0,0.9987385304661279
15,euclidean,0.008060123,-0.5997236,-0.047751073,1.0,0.9991277041078754
