frame,method,dx,dy,rotation,scale,ecc_score
0,mask,0.0,0.0,0.0,1.0,1.0
1,euclidean,-0.4028315,0.030787928,-0.021194855,1.0,0.9996685164666494
2,euclidean,-0.6209224,0.012046714,-0.030024944,1.0,0.9996441773819514
3,euclidean,-0.8196885,0.011285596,-0.039205402,1.0,0.9995696202022215
4,euclidean,-0.71087474,-0.072682716,-0.037000652,1.0,0.9994261448727361
5,euclidean,-0.26269022,-0.18891962,-0.020558476,1.0,0.999287484558709
6,euclidean,-0.1178762,-0.47916156,-0.026625829,1.0,0.9994324349094478
7,euclidean,-0.39017162,-0.4438133,-0.058166947,0.99999994,0.9982551802619609
8,euclidean,-0.8587132,-0.26258373,-0.10846626,1.0,0.9959310912505087
9,euclidean,-0.6592324,-0.4213345,-0.08752929,0.99999994,0.9965403948315642
10,euclidean,-0.46933898,-0.5249748,-0.06707237,1.0,0.9971735672102721
11,euclidean,-0.5652026,-0.52475685,-0.06618473,1.0,0.9976372907587613
12,euclidean,-0.6675038,-0.49327287,-0.06879492,1.0,0.9981634625035547
13,euclidean,-0.4914553,-0.40391874,-0.06412329,0.99999994,0.9983731425578815
14,euclidean,-0.1864598,-0.5159686,-0.053015787,1.0,0.9988354518426396
15,euclidean,-0.021303413,-0.59720737,-0.04925071,1.0,0.9991989728070679
