frame,method,dx,dy,angle,ecc_score
0,mask,0.0,0.0,0.0,1.0
1,pcc,-0.0012094629171413632,-0.0009118630084718062,0.0,0.6431318601360995
2,pcc,-0.004396632726721748,-0.003389170643019993,0.0,0.3944702175522895
3,pcc,-0.010396574802190707,-0.0032768433357549414,0.0,0.25058598547390154
4,pcc,-0.008954063764143833,-0.005184731408479708,0.0,0.17515003291201733
5,pcc,-0.005634286849649806,-0.002438827192454884,0.0,0.13705557226956128
6,pcc,0.0034523250854128127,-0.020421119443924045,0.0,0.11678484040539745
7,pcc,0.006632666592061372,-0.015393298935156743,0.0,0.10663117440042981
8,pcc,0.014473701426729237,-0.008909571748019578,0.0,0.10072567619532713
9,pcc,-0.0012096706904354624,-0.006456151450471589,0.0,0.09354361271093158
10,pcc,-0.009523718535345903,-0.02613991027341461,0.0,0.09286437036976171
11,pcc,-0.021135165587883784,-0.03721520353743641,0.0,0.09327323213111578
12,pcc,-0.011416943944441137,-0.054511352689137677,0.0,0.09320878887942917
13,pcc,-0.00048503645583144827,-0.044044592103624394,0.0,0.0970854524083963
14,pcc,0.005412252692057883,-0.0380933695845441,0.0,0.09520065324688891
15,pcc,0.00819465927149198,-0.040132105000001396,0.0,0.09455149675231403
