frame,method,dx,dy,rotation,scale,ecc_score
0,mask,0.0,0.0,0.0,1.0,1.0
1,euclidean,-0.35421836,0.02824041,-0.01758726,1.0,0.9996679025045433
2,euclidean,-0.55064946,0.0040196404,-0.024802884,0.99999994,0.9994322716253558
3,euclidean,-0.705455,-0.0108189285,-0.030361913,1.0,0.9994254793298761
4,euclidean,-0.5893776,-0.10785566,-0.027017005,1.0,0.9992127818130916
5,euclidean,-0.16951096,-0.22099239,-0.012096367,1.0,0.9990017337503776
6,euclidean,-0.05535743,-0.52130175,-0.018800227,1.0,0.9993424130055241
7,euclidean,-0.36972582,-0.509066,-0.051380865,0.99999994,0.9978774225348281
8,euclidean,-0.89122546,-0.3603329,-0.10113485,1.0,0.9950450790325701
9,euclidean,-0.6530789,-0.5233216,-0.078106515,0.99999994,0.9958010300116475
10,euclidean,-0.41879612,-0.6008794,-0.054804523,0.99999994,0.9965862036783688
11,euclidean,-0.4787126,-0.5700053,-0.05075363,0.99999994,0.9972208638641326
12,euclidean,-0.5207291,-0.5179124,-0.0509858,0.99999994,0.9978772178262871
13,euclidean,-0.3224383,-0.4291826,-0.04572132,1.0,0.9982058045587177
14,euclidean,-0.059976745,-0.52057743,-0.038734496,1.0,0.9986870027211929
15,euclidean,0.056840803,-0.5920939,-0.039364,1.0,0.9989739199040519
