frame,method,dx,dy,angle,ecc_score
0,mask,0.0,0.0,0.0,1.0
1,pcc,-0.0012102965739784347,-0.0009264470751719254,0.0,0.643092781199307
2,pcc,-0.004385136270654884,-0.003412402047154822,0.0,0.39448959346904766
3,pcc,-0.010401964604627065,-0.0033167996858982844,0.0,0.25061687554114737
4,pcc,-0.00888251685851933,-0.005292613550706343,0.0,0.17518007343527645
5,pcc,-0.00565035187832331,-0.002659543701494759,0.0,0.13709352935377025
6,pcc,0.0034824326655079887,-0.020620526000719192,0.0,0.1168127026751842
7,pcc,0.006308464523512842,-0.015642370231975768,0.0,0.10662169084040424
8,pcc,0.014280706870265645,-0.008948461017175374,0.0,0.10080689820869904
9,pcc,-0.0016467429616219046,-0.006798455067721205,0.0,0.09353535462889512
10,pcc,-0.009803395102411431,-0.026336065601394384,0.0,0.09291645635539668
11,pcc,-0.02131323580175472,-0.03777649637250154,0.0,0.09331399504235835
12,pcc,-0.011594136093610737,-0.05466635622742146,0.0,0.0932006525298143
13,pcc,-0.0008053725065426363,-0.04422901113129859,0.0,0.09707448278444855
14,pcc,0.005524108846734594,-0.038338514459504376,0.0,0.09518932914384877
15,pcc,0.008342851022035183,-0.04050390433472123,0.0,0.0945335347631741
