frame,method,dx,dy,angle,ecc_score
0,mask,0.0,0.0,0.0,1.0
1,pcc,0.0010568456302402877,0.002451231701292529,0.0,0.6319290476845985
2,pcc,-0.0037265499945834586,0.007688486160144042,0.0,0.379359130990671
3,pcc,-0.012636651533716937,0.0201441574655551,0.0,0.2284480223599652
4,pcc,-0.018630404945441735,0.044043430319689346,0.0,0.14438246722044826
5,pcc,-0.02243460145375377,0.08511301451140932,0.0,0.1006531545227476
6,pcc,-0.012840035839014715,0.15074372700308358,0.0,0.08457120674578342
7,pcc,0.014116426453867074,0.1513255362561999,0.0,0.0794042766193913
8,pcc,0.03210377110491252,0.19286325769502452,0.0,0.07313939297248878
9,pcc,0.01869947450597916,0.21625905999589784,0.0,0.06837019006515484
10,pcc,-0.019223113445623323,0.2111816991168194,0.0,0.06442295522090039
11,pcc,-0.031662267767353314,0.2178075491129259,0.0,0.05892387832635056
12,pcc,-0.029837787861813025,0.21983626264570863,0.0,0.05356831066182054
13,pcc,-0.010040813664578476,0.23330943531129386,0.0,0.05111542457760937
14,pcc,-0.03178954903135189,0.24012370587219886,0.0,0.050118894972083515
15,pcc,-0.013533173859753245,0.21080969760924356,0.0,0.04882810968731548
16,pcc,0.009649907758845548,0.28209141527655257,0.0,0.046461814104584796
17,pcc,0.029970812652117016,0.2802735304147294,0.0,0.04550212227885096
18,pcc,0.018036223822812975,0.2386076191212532,0.0,0.04382441122750255
19,pcc,0.005902602518279247,0.21549702032288734,0.0,0.04228902411200703
20,pcc,0.005594519806607352,0.18585204215770945,0.0,0.04452609603518021
21,pcc,0.012561912016602785,0.17410998713945935,0.0,0.043546027933402565
22,pcc,0.006467503354755278,0.23597106245162403,0.0,0.04198874472152286
