frame,method,dx,dy,rotation,scale,ecc_score
0,mask,0.0,0.0,0.0,1.0,1.0
1,,0.0,0.0,0.0,0.9997133016586304,0.0
2,,0.0,0.0,0.0,0.9998060464859009,0.0
3,,0.0,0.0,0.0,0.9997991323471069,0.0
4,,0.0,0.0,0.0,0.9993645548820496,0.0
5,,0.0,0.0,0.0,0.9993844032287598,0.0
6,,0.0,0.0,0.0,0.9994579553604126,0.0
7,,0.0,0.0,0.0,0.9994112253189087,0.0
8,,0.0,0.0,0.0,0.9995372295379639,0.0
9,,0.0,0.0,0.0,0.9987555146217346,0.0
10,,0.0,0.0,0.0,0.99839848279953,0.0
11,,0.0,0.0,0.0,0.9981496930122375,0.0
12,,0.0,0.0,0.0,0.9983658194541931,0.0
13,,0.0,0.0,0.0,0.9986201524734497,0.0
14,,0.0,0.0,0.0,0.9987650513648987,0.0
15,,0.0,0.0,0.0,0.9984332919120789,0.0
