frame,method,dx,dy,rotation,scale,ecc_score
0,mask,0.0,0.0,0.0,1.0,1.0
1,euclidean,-0.3963451,0.026688423,-0.020294394,1.0,0.9996611821829953
2,euclidean,-0.60367626,0.0003237907,-0.028007843,1.0,0.9995821105689565
3,euclidean,-0.7836239,-0.0056358017,-0.035487395,1.0,0.9995184712766052
4,euclidean,-0.6692261,-0.09406156,-0.032749332,0.99999994,0.9993449445852387
5,euclidean,-0.22366261,-0.2159812,-0.016594253,0.99999994,0.9991818035113078
6,euclidean,-0.1056294,-0.51409197,-0.024085853,1.0,0.9993794153429464
7,euclidean,-0.44422087,-0.49243197,-0.0600326,1.0,0.9979372447917197
8,euclidean,-0.99035454,-0.33004913,-0.11449895,0.99999994,0.9951189492037826
9,euclidean,-0.71864456,-0.50714254,-0.08896972,1.0,0.9958464026326372
10,euclidean,-0.46534944,-0.6033816,-0.063832186,1.0,0.9966114566162483
11,euclidean,-0.5245237,-0.5881908,-0.059683144,1.0,0.9972152114517695
12,euclidean,-0.59112835,-0.5371508,-0.06032098,1.0,0.9978840755832753
13,euclidean,-0.40278643,-0.4416305,-0.055331312,1.0,0.998200880231539
14,euclidean,-0.11780108,-0.5371082,-0.046535693,0.99999994,0.9986705012739567
15,euclidean,0.021017939,-0.60764647,-0.045267925,1.0,0.9990862348047171
