frame,method,dx,dy,angle,ecc_score
0,mask,0.0,0.0,0.0,1.0
1,pcc,-0.009109773494562505,0.0034897866064937657,0.0,0.8010193980758471
2,pcc,-0.009593505352960273,0.0035964292858935098,0.0,0.6840787288979834
3,pcc,-0.008315993377195536,0.005954548840973004,0.0,0.6197451491578805
4,pcc,-0.005261730923711505,0.003909921581712351,0.0,0.5911110291586265
5,pcc,-0.003909893229196654,0.0022281425050746863,0.0,0.5812941785883368
6,pcc,0.0001251462321228735,-0.0029783970860581344,0.0,0.5853562896866116
7,pcc,0.002549455172016363,-0.001263750103107888,0.0,0.5869740210982788
8,pcc,-0.002185015035861919,0.0010968847519583944,0.0,0.58374359877386
9,pcc,-0.0036484136196482287,-0.0035471498427498533,0.0,0.577116104326211
10,pcc,-0.002940526913513034,-0.0006160055184564933,0.0,0.5682879329098682
11,pcc,-0.00497132257578302,-0.0002181439117030483,0.0,0.5650157103962591
12,pcc,-0.006412454145430451,0.004069093291531963,0.0,0.5513089040940092
13,pcc,-0.003120652692569849,0.0017580255048870574,0.0,0.5467195532745603
14,pcc,-0.0027091032830655506,0.001312355540782869,0.0,0.5542604614183438
15,pcc,0.0023758177841835594,-0.004373036247227297,0.0,0.582291613776741
