frame,method,dx,dy,rotation,scale,ecc_score
0,mask,0.0,0.0,0.0,1.0,1.0
1,euclidean,-0.30016804,0.036530837,-0.0150700975,0.99999994,0.9996963156554817
2,euclidean,-0.4610355,0.010981242,-0.020854332,1.0,0.9993102852888421
3,euclidean,-0.5733282,-0.0011953203,-0.023142122,1.0,0.9992832845917542
4,euclidean,-0.43133155,-0.09897204,-0.019279724,1.0,0.999106313542857
5,euclidean,-0.024960613,-0.22320786,-0.005353865,1.0,0.9992754204299629
6,euclidean,0.05157252,-0.5353461,-0.013690158,1.0,0.999395055755187
7,euclidean,-0.3616851,-0.5500495,-0.051856387,1.0,0.9973565180221555
8,euclidean,-0.99580675,-0.42279655,-0.10648362,1.0,0.9933400013270534
9,euclidean,-0.66928244,-0.64768696,-0.07915261,1.0,0.9946107636438976
10,euclidean,-0.33135805,-0.74541706,-0.05034186,1.0,0.9959810881962534
11,euclidean,-0.3701012,-0.6713086,-0.043957878,1.0,0.9970798533952691
12,euclidean,-0.37994775,-0.57675266,-0.04305356,0.99999994,0.9978913324863444
13,euclidean,-0.14276105,-0.47136003,-0.03609607,1.0,0.9983745502854022
14,euclidean,0.10356985,-0.5114046,-0.030349994,1.0,0.9987035363511945
15,euclidean,0.15907605,-0.5724614,-0.033597976,1.0,0.9988152743705727
