frame,method,dx,dy,angle,ecc_score
0,mask,0.0,0.0,0.0,1.0
1,pcc,-0.0012232106214721743,-0.0009066978955119202,0.0,0.6430826483182737
2,pcc,-0.0043998490645539064,-0.003402199149383767,0.0,0.3944344880541951
3,pcc,-0.01032915127824559,-0.003334816154646616,0.0,0.2505090930429092
4,pcc,-0.008894764801702712,-0.005386061138758991,0.0,0.1750429002833354
5,pcc,-0.005539559345495293,-0.0025377013570511637,0.0,0.13694406886067373
6,pcc,0.003345304709545637,-0.02061643206727005,0.0,0.11667954907021992
7,pcc,0.006752739784564902,-0.015384916964658485,0.0,0.1065146476291884
8,pcc,0.01491494366898959,-0.00863390188257531,0.0,0.10063133131053603
9,pcc,-0.0010984842764437358,-0.0065968369259699206,0.0,0.09337578657878301
10,pcc,-0.00912484245854623,-0.026015278058881184,0.0,0.09277677008785745
11,pcc,-0.021142111002802264,-0.03782512829436377,0.0,0.09322069856194953
12,pcc,-0.011517325039263672,-0.05441263007537472,0.0,0.09305588364331839
13,pcc,-0.0006371718363026036,-0.044228939976873285,0.0,0.09697714877622766
14,pcc,0.0052181032855457,-0.03824774028093711,0.0,0.095037728550863
15,pcc,0.008153125560669877,-0.040308377547024564,0.0,0.09444291733195569
