frame,method,dx,dy,angle,ecc_score
0,mask,0.0,0.0,0.0,1.0
1,pcc,0.001003016757274359,-0.0012258973027498897,0.0,0.6334839294731374
2,pcc,0.0009189352701350519,-0.0026837496416708215,0.0,0.38059093796629895
3,pcc,0.006545127296547634,-0.006018685474543862,0.0,0.23294171449480638
4,pcc,0.009329789393743336,-0.01600360279845872,0.0,0.15712290801935785
5,pcc,0.0027517757085802528,-0.013049922506401463,0.0,0.11677503351116975
6,pcc,-0.010310625367056847,-0.007476757971041101,0.0,0.09825741333904225
7,pcc,-0.016824806045647425,-0.004650311535969811,0.0,0.08908519751597256
8,pcc,-0.01705407926545389,0.009774537764234379,0.0,0.08545667370354434
9,pcc,-0.0015417624983858965,0.015345172321807838,0.0,0.07909267738512821
10,pcc,0.010948571658186945,-0.007265425090814641,0.0,0.0727915749435467
11,pcc,0.010485895718297281,-0.032648849152405186,0.0,0.07261339222908401
12,pcc,0.02051715023782729,-0.0200095354527218,0.0,0.0672630567195122
13,pcc,0.015454515556404522,-0.009838101451888629,0.0,0.06633089679072261
14,pcc,0.008779074649172056,0.008717493410196024,0.0,0.06861517276998412
15,pcc,-0.011699403216348126,0.013352769180522821,0.0,0.06742391671405494
16,pcc,-0.005562484598982733,0.01686349631827368,0.0,0.06934902440033776
17,pcc,-0.010392138838526263,0.0383318123698697,0.0,0.06920951717526848
18,pcc,-0.007668849579430527,0.010064061322565907,0.0,0.07109973266366768
19,pcc,-0.001164016317218627,0.007163090083932367,0.0,0.07001534627890907
20,pcc,-0.02913042978028759,0.021159908781911572,0.0,0.06877718811908112
21,pcc,-0.028972879729281645,0.03552723023068606,0.0,0.06538029700767732
22,pcc,-0.026409415985055553,0.03309600107301289,0.0,0.061770025934603505
23,pcc,-0.03523122345598283,0.04611602473189414,0.0,0.0594787252601273
24,pcc,-0.030984642269808033,0.046916181561141225,0.0,0.06021653507914635
