frame,method,dx,dy,rotation,scale,ecc_score
0,mask,0.0,0.0,0.0,1.0,1.0
1,euclidean,-0.37141225,0.03938794,-0.018850498,1.0,0.9996786079466387
2,euclidean,-0.5821843,0.02490771,-0.027078805,1.0,0.9995433805468232
3,euclidean,-0.7707907,0.024014425,-0.035504874,1.0,0.9995248956939596
4,euclidean,-0.6716032,-0.05744042,-0.033554096,1.0,0.9993803408571201
5,euclidean,-0.23962535,-0.17931981,-0.017551959,1.0,0.9991750803615195
6,euclidean,-0.097675614,-0.47603458,-0.023268953,1.0,0.9993908783791569
7,euclidean,-0.3385841,-0.443658,-0.052146588,1.0,0.9982056376990024
8,euclidean,-0.7716888,-0.25305998,-0.09847601,1.0,0.9960121354555065
9,euclidean,-0.6080552,-0.40000495,-0.08045184,0.99999994,0.9965897242138447
10,euclidean,-0.44699332,-0.48264647,-0.061699923,0.99999994,0.9972180736131243
11,euclidean,-0.5446135,-0.467462,-0.060501974,1.0,0.9977203370511454
12,euclidean,-0.62911624,-0.44400072,-0.062734544,1.0,0.9982058714223377
13,euclidean,-0.45200765,-0.36686528,-0.058289986,0.99999994,0.9983928554470837
14,euclidean,-0.16588235,-0.48061177,-0.048613656,1.0,0.9988418795594424
15,euclidean,-0.007876756,-0.57237226,-0.046297364,1.0,0.9991396608568642
