frame,method,dx,dy,rotation,scale,ecc_score
0,mask,0.0,0.0,0.0,1.0,1.0
1,euclidean,-0.3027396,0.030025605,-0.01504727,0.99999994,0.9996822028632986
2,euclidean,-0.46261135,-0.0032506997,-0.02050044,1.0,0.9992727726791474
3,euclidean,-0.56880176,-0.032685082,-0.022808617,1.0,0.99921233338432
4,euclidean,-0.42765433,-0.12633342,-0.018155329,1.0,0.9990448779801704
5,euclidean,-0.027360113,-0.24662247,-0.004690671,1.0,0.9992229364840096
6,euclidean,0.05873966,-0.5567579,-0.011877243,1.0,0.9993937615233258
7,euclidean,-0.32730514,-0.57138944,-0.04643656,0.99999994,0.9975230031890975
8,euclidean,-0.9492496,-0.47186184,-0.09801988,0.99999994,0.9934898961837815
9,euclidean,-0.6276847,-0.69866216,-0.07205274,1.0,0.9947038350408848
10,euclidean,-0.3096073,-0.7813481,-0.04505666,1.0,0.9959733411403096
11,euclidean,-0.3569042,-0.70748717,-0.039683826,1.0,0.9969382608463346
12,euclidean,-0.36950552,-0.60391605,-0.039606046,1.0,0.9977657413352394
13,euclidean,-0.13337044,-0.49548492,-0.033142496,1.0,0.9983225467913187
14,euclidean,0.12680887,-0.5500877,-0.02776737,1.0,0.9985244846355453
15,euclidean,0.18083298,-0.58724606,-0.030810302,1.0,0.9987999397777859
