frame,method,dx,dy,angle,ecc_score
0,mask,0.0,0.0,0.0,1.0
1,pcc,-0.001708628394456951,-0.0006684690435565279,0.0,0.6406744916735709
2,pcc,-0.0049717959799306976,-0.0022331238227706602,0.0,0.3932709382454697
3,pcc,-0.01086086676790894,-0.003179699867546859,0.0,0.25295985704394347
4,pcc,-0.010024281236495685,-0.002942259989338517,0.0,0.17859595936749317
5,pcc,-0.007032908325619158,0.0011505632329617153,0.0,0.14132567262952883
6,pcc,0.012793443106104514,-0.012815661407275133,0.0,0.12141150947192114
7,pcc,0.010039780724454704,-0.01172387657744325,0.0,0.11064700278461435
8,pcc,0.02012396743349083,-0.0021915196194615357,0.0,0.1031765460732825
9,pcc,-0.002773943505687103,0.001339304089385707,0.0,0.09635225265674097
10,pcc,-0.002408956516262522,-0.015554303367092884,0.0,0.09642672813044505
11,pcc,-0.013052611908493595,-0.019803790714201113,0.0,0.09689546573577115
12,pcc,-0.01248138355200781,-0.03769674482951586,0.0,0.09784392463586725
13,pcc,0.0005883038790886694,-0.029852013752598796,0.0,0.10112526553834249
14,pcc,0.0105009020600919,-0.02148764783137525,0.0,0.09984703896665838
15,pcc,0.008688770622880749,-0.024949496954879132,0.0,0.09880540319582252
