frame,method,dx,dy,rotation,scale,ecc_score
0,mask,0.0,0.0,0.0,1.0,1.0
1,euclidean,-0.32879716,0.035752952,-0.016533352,0.99999994,0.9996762416748259
2,euclidean,-0.5106966,0.018655691,-0.023407018,1.0,0.9993300181942129
3,euclidean,-0.6396349,0.0037723442,-0.027708484,1.0,0.9993840409114297
4,euclidean,-0.51790804,-0.070464246,-0.023401331,1.0,0.9991518851135853
5,euclidean,-0.10394826,-0.18538953,-0.008993501,1.0,0.9992081631776718
6,euclidean,-0.009416378,-0.51132864,-0.018237395,1.0,0.9993355433466079
7,euclidean,-0.39698425,-0.4848742,-0.056417134,1.0,0.9975623210179757
8,euclidean,-0.9714954,-0.3516768,-0.11364479,1.0,0.9942626501150501
9,euclidean,-0.6910316,-0.53195727,-0.08694316,1.0,0.9952016382995627
10,euclidean,-0.39957893,-0.613693,-0.058337275,0.99999994,0.9963214345576314
11,euclidean,-0.4324068,-0.57127154,-0.05150505,1.0,0.9972106432089095
12,euclidean,-0.44488084,-0.51456225,-0.049628187,1.0,0.9979445363535204
13,euclidean,-0.22670852,-0.4249119,-0.04295947,0.99999994,0.998314072507239
14,euclidean,0.015873589,-0.5032576,-0.03695591,1.0,0.9987061131562457
15,euclidean,0.10234239,-0.57564735,-0.038448468,1.0,0.9989191911861179
