frame,method,dx,dy,angle,ecc_score
0,mask,0.0,0.0,0.0,1.0
1,pcc,-0.0012871152054116037,-0.0008314604815751557,0.0,0.6439350604293408
2,pcc,-0.004520398182414653,-0.003057452452538825,0.0,0.3956051019340149
3,pcc,-0.010387833598594928,-0.003316770950244223,0.0,0.2518986109237952
4,pcc,-0.009160838808862416,-0.005252487641017174,0.0,0.17666100783835006
5,pcc,-0.005275166230554621,-0.0015886504190050217,0.0,0.13864841574710265
6,pcc,0.003629116602017714,-0.019149238850269576,0.0,0.11851245806391739
7,pcc,0.005957138518583331,-0.015512625498721675,0.0,0.10819298604168111
8,pcc,0.014356190487546888,-0.00865694558648029,0.0,0.10238111284542716
9,pcc,-0.0016483888904776354,-0.0064998688526126305,0.0,0.0951883569378371
10,pcc,-0.007874848404605898,-0.022129073409717002,0.0,0.09429480496055793
11,pcc,-0.01999945860889235,-0.03373434468524115,0.0,0.09481939028834346
12,pcc,-0.010916349819541971,-0.05112209292226509,0.0,0.09466342620092345
13,pcc,-0.00024698400796470437,-0.0394288859680115,0.0,0.0985407715275403
14,pcc,0.004163808569165746,-0.03514535667432833,0.0,0.09715761350533095
15,pcc,0.007811426386010645,-0.0393013730712168,0.0,0.09626689809743191
