frame,method,dx,dy,rotation,scale,ecc_score
0,mask,0.0,0.0,0.0,1.0,1.0
1,euclidean,-0.3917182,0.026525386,-0.01950139,1.0,0.9996332478360634
2,euclidean,-0.59435177,0.0006816202,-0.026903883,1.0,0.999529565385655
3,euclidean,-0.76446086,-0.0069244746,-0.03363873,1.0,0.9995073176917109
4,euclidean,-0.6417157,-0.10050112,-0.03032928,1.0,0.9993282221004328
5,euclidean,-0.19717179,-0.22554372,-0.014407093,0.99999994,0.9991337059614183
6,euclidean,-0.09382236,-0.52847177,-0.02261058,1.0,0.9994116316216347
7,euclidean,-0.45777094,-0.50612646,-0.0602223,1.0,0.997945078332035
8,euclidean,-1.0468622,-0.33268425,-0.116888985,1.0,0.9951702072314146
9,euclidean,-0.7523959,-0.5175026,-0.09021534,1.0,0.9958817144800343
10,euclidean,-0.47299168,-0.6085912,-0.06330087,1.0,0.9966733623877484
11,euclidean,-0.5165514,-0.58363336,-0.057631206,1.0,0.9973162615498946
12,euclidean,-0.5603436,-0.52860594,-0.05737556,1.0,0.9979804404941947
13,euclidean,-0.3641668,-0.4331954,-0.052268703,1.0,0.9982933721087534
14,euclidean,-0.08142617,-0.5274803,-0.044073068,1.0,0.9987108178913591
15,euclidean,0.052641682,-0.6035341,-0.04331071,1.0,0.9990723552175028
