frame,method,dx,dy,angle,ecc_score
0,mask,0.0,0.0,0.0,1.0
1,pcc,0.00017507783309043924,0.004354484950334031,0.0,0.6377855090950406
2,pcc,0.001211966172738472,0.01224173475022928,0.0,0.38679606941559347
3,pcc,0.01302458638551277,0.01992639059718484,0.0,0.23805518228772793
4,pcc,0.032322842654208046,0.013122280711099304,0.0,0.16229104128329436
5,pcc,0.05091782053047422,-0.03210860577847204,0.0,0.12338940976214251
6,pcc,0.03411779776163207,-0.07883839715572653,0.0,0.10523089210331081
7,pcc,-0.01967184715943703,-0.017131249826473068,0.0,0.09815876222473277
8,pcc,-0.04648489382929837,0.0673001511119087,0.0,0.09097158093537822
9,pcc,-0.04611063749487719,0.07488171023942262,0.0,0.08792527006749755
10,pcc,-0.03536997842174019,0.13873023254153347,0.0,0.07984301083595034
11,pcc,-0.03753241272791449,0.14747526743944908,0.0,0.06827426511383831
12,pcc,-0.014364892538568525,0.12022633920102278,0.0,0.058531577873003296
13,pcc,-0.006170371120864249,0.07097921624444845,0.0,0.0515164421831777
14,pcc,-0.014080114498280161,0.04185338889384193,0.0,0.05069446559068
15,pcc,-0.00858127212635069,0.022153405889115737,0.0,0.048203921198386145
16,pcc,-0.002980662433777959,0.004416736056683963,0.0,0.04726421900192883
17,pcc,0.007455598317164715,0.00605031532568515,0.0,0.04490356331731175
18,pcc,0.015012937718285648,-0.007459364463894159,0.0,0.04547651411285497
