nfeatures,kp_mask,kp_live,matches,inliers,inlier_ratio,median_reproj_err,detect_time_s,match_time_s,coverage_mask,coverage_live
100,6,7,4,4,1.0,0.0,0.08477973937988281,0.0010085105895996094,0.0045351473922902496,0.006802721088435374
500,6,7,4,4,1.0,0.0,0.010353803634643555,0.0,0.0045351473922902496,0.006802721088435374
1000,6,7,4,4,1.0,0.0,0.010947465896606445,0.0,0.0045351473922902496,0.006802721088435374
2000,6,7,4,4,1.0,0.0,0.011063098907470703,0.0,0.0045351473922902496,0.006802721088435374
3000,6,7,4,4,1.0,0.0,0.01049661636352539,0.0,0.0045351473922902496,0.006802721088435374
5000,6,7,4,4,1.0,0.0,0.010936975479125977,0.0,0.0045351473922902496,0.006802721088435374
10000,6,7,4,4,1.0,0.0,0.010649442672729492,0.0,0.0045351473922902496,0.006802721088435374
