frame,method,dx,dy,angle,ecc_score
0,mask,0.0,0.0,0.0,1.0
1,pcc,0.001049802846101096,-0.0012926047093360419,0.0,0.6333380954482621
2,pcc,0.000973110841782686,-0.0026223105111199342,0.0,0.380551740408032
3,pcc,0.00634651853378476,-0.005699468975989643,0.0,0.2329938922865751
4,pcc,0.009781504517542453,-0.015960580170623954,0.0,0.15717897862151492
5,pcc,0.0029652365861275987,-0.012235069956296857,0.0,0.11670718938690965
6,pcc,-0.011143985752247107,-0.00624110480423412,0.0,0.0984719370119714
7,pcc,-0.016645551228183723,-0.0031347760783973885,0.0,0.08923469033566162
8,pcc,-0.01776048931970258,0.010245654453433626,0.0,0.08550066335661084
9,pcc,-0.0009692076270755015,0.015515659665321636,0.0,0.0790174834143342
10,pcc,0.01282075874581614,-0.007280251513818756,0.0,0.07286889319467935
11,pcc,0.008973346704151178,-0.03201869646871254,0.0,0.07254810744762835
12,pcc,0.01979125375315345,-0.02217973118964178,0.0,0.06749947809612877
13,pcc,0.01493393072826308,-0.011844348261990397,0.0,0.06645239426709643
14,pcc,0.008325943081218303,0.009722252018963215,0.0,0.06871257789879567
15,pcc,-0.012155897976938024,0.013961030725798339,0.0,0.06748942607257845
16,pcc,-0.006202108802227207,0.018487695082525905,0.0,0.069190104042098
17,pcc,-0.012487973497908412,0.03946191359651438,0.0,0.06909565542485507
18,pcc,-0.008422713629926245,0.008565070069869759,0.0,0.07094800612505847
19,pcc,-0.0020831106350752025,0.008570809954353846,0.0,0.07010190083048766
20,pcc,-0.031333314044726855,0.023181800681558534,0.0,0.06871939116192995
21,pcc,-0.031059901007256842,0.036197388601151494,0.0,0.06544653412204764
22,pcc,-0.028467853080392798,0.03268586894350848,0.0,0.06165243610145259
23,pcc,-0.035196591246184954,0.04753414588769264,0.0,0.05958334162757225
24,pcc,-0.03172955191943906,0.04997912707169464,0.0,0.060157255794609114
