frame,method,dx,dy,angle,ecc_score
0,mask,0.0,0.0,0.0,1.0
1,pcc,0.0011687638796522514,-0.001281731130648514,0.0,0.6344952066378917
2,pcc,0.0013412824039438984,-0.002846184482266688,0.0,0.3827952434936581
3,pcc,0.006350778607257751,-0.006067243630957179,0.0,0.23523941666116785
4,pcc,0.009928493331118594,-0.016215908041931945,0.0,0.15944466603701124
5,pcc,0.0021722289778492994,-0.01223617155985208,0.0,0.11992663897596752
6,pcc,-0.011013746949481705,-0.008856674278898172,0.0,0.10152800052745667
7,pcc,-0.01723066199357449,-0.004504951992444306,0.0,0.09199994433440982
8,pcc,-0.01717668217455743,0.009829531838054312,0.0,0.08865631802418206
9,pcc,-0.002496403209067959,0.015675135812106878,0.0,0.08175670294564788
10,pcc,0.011068686852265287,-0.0009534523355346539,0.0,0.07570560394817637
11,pcc,0.007960162948821979,-0.029350342552604502,0.0,0.07539584838054986
12,pcc,0.018782501500551784,-0.019436768432785773,0.0,0.07036579423400821
13,pcc,0.011713761970710647,-0.012063504428113853,0.0,0.06924909862248142
14,pcc,0.005741927626479396,0.007082089319838772,0.0,0.07177850602444358
15,pcc,-0.01573464778057766,0.016133937138250468,0.0,0.06976840056347978
16,pcc,-0.008146682069950322,0.020185985465261805,0.0,0.07182354260652733
17,pcc,-0.014600774286626064,0.040927237463522274,0.0,0.07170051265107398
18,pcc,-0.010413337987901202,0.009397650389089164,0.0,0.07389449769271426
19,pcc,-0.005353045178960401,0.008204199395943102,0.0,0.07272671268756137
20,pcc,-0.03502768193489318,0.02268227006826244,0.0,0.07098522291277042
21,pcc,-0.03386877952483644,0.031028758012293774,0.0,0.0678397867214445
22,pcc,-0.027384363695906154,0.031293370369013994,0.0,0.06408257389412504
23,pcc,-0.03931198831084226,0.048022883380745264,0.0,0.061601155057059265
24,pcc,-0.03437513006431072,0.0505935250986192,0.0,0.06189380804550485
