frame,method,dx,dy,angle,ecc_score
0,mask,0.0,0.0,0.0,1.0
1,pcc,0.00015295192878765827,0.004340656210315854,0.0,0.6378104383651532
2,pcc,0.00121126449188634,0.012276792743586935,0.0,0.3868458301236393
3,pcc,0.01304314379567677,0.01996243459482606,0.0,0.2381036200906205
4,pcc,0.032501710329717666,0.013189421522497007,0.0,0.16234689263871796
5,pcc,0.051078601994450516,-0.032355550366407505,0.0,0.12342897232224805
6,pcc,0.033977078446751664,-0.07872479485220005,0.0,0.10535953881686587
7,pcc,-0.019733691217989607,-0.016888533434185053,0.0,0.09826647843359232
8,pcc,-0.04663901828919327,0.06777724100502198,0.0,0.09105921937450219
9,pcc,-0.0462981013171675,0.07521512620783763,0.0,0.08813984882023794
10,pcc,-0.035467930762458987,0.1387867693724178,0.0,0.08004390863167749
11,pcc,-0.0376124979035908,0.1474689238627753,0.0,0.06840856894799985
12,pcc,-0.014354331523632092,0.12005548438496547,0.0,0.0586088358401339
13,pcc,-0.00591581743700282,0.07060057776803465,0.0,0.05162672602340528
14,pcc,-0.014181833686825171,0.04147655001346139,0.0,0.05077665911135627
15,pcc,-0.008754893752255357,0.022419268812656722,0.0,0.04826884232360774
16,pcc,-0.0027787739116641925,0.004775751887060983,0.0,0.047345536648854054
17,pcc,0.007561104298094504,0.005894638101258763,0.0,0.04489797020532802
18,pcc,0.015164049598982673,-0.007499104147579606,0.0,0.045495110269125755
