frame,method,dx,dy,angle,ecc_score
0,mask,0.0,0.0,0.0,1.0
1,pcc,0.001061306237181576,-0.0013280341943833634,0.0,0.6340907558771706
2,pcc,0.0011215674045135387,-0.002747860418825555,0.0,0.38192773575688704
3,pcc,0.00640592745220792,-0.005869007794929192,0.0,0.23441328034113734
4,pcc,0.009662757165928033,-0.016414224102068012,0.0,0.15857157647186987
5,pcc,0.0024974916412168115,-0.012651446080241028,0.0,0.11856710254432745
6,pcc,-0.011684322798214403,-0.0083020608706374,0.0,0.10027032309865161
7,pcc,-0.016548624357597522,-0.0035819158148023334,0.0,0.09087161402036147
8,pcc,-0.017282132504814467,0.010208467678791456,0.0,0.087339431029541
9,pcc,-0.0017790463434487818,0.015043170001477087,0.0,0.08076082792160173
10,pcc,0.0117231135655048,-0.004274090190176516,0.0,0.07457207849321475
11,pcc,0.008444727259423216,-0.03167490511277761,0.0,0.07419913947705611
12,pcc,0.01827737522946106,-0.02066378830286353,0.0,0.06918001518051363
13,pcc,0.013247815571181926,-0.012380888076718208,0.0,0.06824291231068788
14,pcc,0.006736061578871859,0.009005334627267188,0.0,0.0706783004031428
15,pcc,-0.01452757489338929,0.013786402818481773,0.0,0.06892590336492053
16,pcc,-0.007472636970763148,0.018502682833638776,0.0,0.07071306940447798
17,pcc,-0.014574776060583721,0.038899529745119975,0.0,0.07070509882789655
18,pcc,-0.010882702605755959,0.008511927184414533,0.0,0.07272190068704328
19,pcc,-0.0047278263694614815,0.00709442489817341,0.0,0.07183834029787751
20,pcc,-0.03420793285164239,0.022059830262101773,0.0,0.0701161927641468
21,pcc,-0.03265868127649202,0.03452570623831029,0.0,0.06693775760752979
22,pcc,-0.02867842941695012,0.03235444963960227,0.0,0.06328426602048251
23,pcc,-0.0377313168464366,0.04732110357338308,0.0,0.06088796771573137
24,pcc,-0.03402572841695666,0.05028236710890633,0.0,0.061135829573424845
