frame,method,dx,dy,angle,ecc_score
0,mask,0.0,0.0,0.0,1.0
1,pcc,-0.0012798595512804357,-0.0008758399117573863,0.0,0.6431612980445172
2,pcc,-0.0045072402753914,-0.0033466137857784775,0.0,0.3945641485084377
3,pcc,-0.010554322767287379,-0.003113602961283567,0.0,0.25075227425960434
4,pcc,-0.008959944579998708,-0.005539848186062107,0.0,0.17524532963842596
5,pcc,-0.005652793429693798,-0.0025575341092828876,0.0,0.13708320149922118
6,pcc,0.003203002847527157,-0.02097480044350652,0.0,0.11686117988529997
7,pcc,0.006169762553950925,-0.015343193354736141,0.0,0.10676160578550976
8,pcc,0.014291465723299932,-0.008885652313627299,0.0,0.10092035522335206
9,pcc,-0.0012962075916743878,-0.0068234900761186545,0.0,0.09368079589829123
10,pcc,-0.010176840241732413,-0.025501503249686815,0.0,0.09305901339243795
11,pcc,-0.020725455355137687,-0.03695458858237288,0.0,0.09344429885975752
12,pcc,-0.01228085015886902,-0.05379984376838461,0.0,0.09319872225021482
13,pcc,-0.0011894670712725138,-0.04402500487503474,0.0,0.09706041111548988
14,pcc,0.005420804741527449,-0.038062601096083844,0.0,0.09523138930597896
15,pcc,0.008217298953954622,-0.04087639634166925,0.0,0.09464451997741481
