frame,method,dx,dy,rotation,scale,ecc_score
0,mask,0.0,0.0,0.0,1.0,1.0
1,euclidean,-0.4405662,0.038201705,-0.020098798,1.0,0.9988386161508628
2,euclidean,-0.6428271,-0.014294218,-0.026132021,0.99999994,0.9983717415897709
3,euclidean,-0.85529256,-0.035607427,-0.03383251,1.0,0.9984442920258081
4,euclidean,-0.6474701,-0.21588351,-0.025135139,0.99999994,0.9979923777612018
5,euclidean,-0.23408331,-0.4094279,-0.010865124,1.0,0.9984456779893051
6,euclidean,-0.10356868,-0.7519183,-0.012313788,1.0,0.9992292462048937
7,euclidean,-0.25285822,-0.7778327,-0.022223761,1.0,0.9988262961131993
8,euclidean,-1.2304198,-0.5141815,-0.07900783,1.0,0.9964649157612404
9,euclidean,-1.0300429,-0.6999658,-0.06210033,1.0,0.9957219765308413
10,euclidean,-0.94924253,-0.6767166,-0.054361198,0.99999994,0.9955998262929338
11,euclidean,-1.0556867,-0.56155765,-0.056888014,1.0,0.9956440366309957
12,euclidean,-0.99265987,-0.48157036,-0.05709696,1.0,0.9965916337404837
13,euclidean,-0.66921425,-0.45728865,-0.04849532,1.0,0.997080658454795
14,euclidean,-0.07898225,-0.6716593,-0.027009089,1.0,0.997798070046461
15,euclidean,0.22710104,-0.78931665,-0.018260429,1.0,0.9981069244106933
